product_id,abc_category,category,total_forecast_demand,avg_monthly_demand
FB001819,B,Dresses,65.98706919634232,10.997844866057052
FB001432,B,Accessories,65.94341275272294,10.99056879212049
FB001841,C,Bottoms,65.910296220488,10.985049370081333
FB000929,B,Tops,65.88919259684624,10.981532099474373
FB001279,B,Tops,65.86343969440183,10.977239949066972
FB001458,C,Shoes,65.7952957014605,10.965882616910084
FB001918,C,Accessories,65.66400654506953,10.944001090844921
FB002073,C,Bottoms,65.62878893857749,10.938131489762915
FB002112,B,Accessories,65.61682068735928,10.936136781226546
FB000251,A,Outerwear,65.57324762761239,10.928874604602065
FB001330,A,Tops,65.5422939038936,10.923715650648932
FB000663,B,Accessories,65.43931096769357,10.90655182794893
FB001328,B,Tops,65.40685143557016,10.90114190592836
FB001897,B,Bottoms,65.38146064281948,10.896910107136579
FB000014,B,Dresses,65.37438485457798,10.89573080909633
FB001892,B,Outerwear,65.36718440962325,10.894530734937208
FB000345,B,Accessories,65.29276931295588,10.882128218825981
FB000184,B,Tops,65.26186348626771,10.876977247711286
FB002131,C,Accessories,65.22104693423199,10.870174489038666
FB000896,B,Tops,65.21137436510668,10.868562394184446
FB001921,B,Accessories,65.19818233519896,10.86636372253316
FB000210,B,Tops,65.16185711679047,10.860309519465078
FB001562,B,Shoes,65.15837808545785,10.859729680909643
FB000034,B,Tops,65.12279233961219,10.853798723268698
FB001661,A,Tops,65.1160643186825,10.852677386447084
FB000357,B,Accessories,65.1158306153491,10.852638435891516
FB000992,B,Accessories,65.08597076210766,10.84766179368461
FB001720,B,Dresses,65.07041792132597,10.845069653554328
FB000790,B,Bottoms,65.01701704908577,10.83616950818096
FB001243,B,Bottoms,64.97401444463748,10.82900240743958
FB000504,B,Dresses,64.97217229220982,10.82869538203497
FB001833,B,Bottoms,64.95987848870281,10.826646414783802
FB000962,C,Dresses,64.95426084846086,10.825710141410143
FB000731,B,Dresses,64.94861651091503,10.824769418485838
FB001680,B,Accessories,64.91070056086082,10.818450093476804
FB001873,B,Outerwear,64.88579133245887,10.814298555409811
FB000023,A,Accessories,64.87332411819774,10.81222068636629
FB002026,B,Tops,64.85117848168966,10.808529746948276
FB002062,C,Accessories,64.84400952978933,10.807334921631556
FB001309,B,Shoes,64.79465677749732,10.79910946291622
FB001799,C,Accessories,64.78506407164409,10.797510678607347
FB000699,B,Accessories,64.77880358988268,10.796467264980448
FB002099,B,Shoes,64.7344741822879,10.789079030381316
FB002065,B,Tops,64.72342524416347,10.78723754069391
FB000381,B,Accessories,64.71227979899238,10.78537996649873
FB000748,B,Accessories,64.6803657700836,10.780060961680599
FB000243,B,Accessories,64.67154057662297,10.778590096103828
FB001095,B,Outerwear,64.650913492576,10.775152248762666
FB001542,C,Accessories,64.6217584072223,10.770293067870384
FB001947,B,Shoes,64.61678876057881,10.769464793429803
FB002129,A,Accessories,64.60035453023052,10.76672575503842
FB001005,C,Accessories,64.59152039739993,10.765253399566655
FB002020,C,Accessories,64.58387357423103,10.763978929038506
FB000777,B,Bottoms,64.58380468580786,10.763967447634643
FB001949,B,Accessories,64.57285870265112,10.76214311710852
FB000890,C,Bottoms,64.57000905248678,10.761668175414464
FB000826,C,Accessories,64.55756144144776,10.759593573574627
FB002046,C,Dresses,64.55663618208344,10.759439363680572
FB000119,B,Bottoms,64.55401171115989,10.75900195185998
FB000822,A,Accessories,64.52399098038285,10.753998496730475
FB001703,A,Accessories,64.51905934722845,10.753176557871408
FB001506,A,Shoes,64.49643360584291,10.749405600973818
FB001425,A,Tops,64.46913390391879,10.74485565065313
FB001579,B,Tops,64.45697745130533,10.742829575217556
FB001745,B,Dresses,64.43502869530758,10.73917144921793
FB000403,A,Accessories,64.43396118161968,10.738993530269946
FB002145,A,Accessories,64.42960190672389,10.73826698445398
FB000117,B,Accessories,64.42476414298139,10.737460690496897
FB001675,A,Accessories,64.41670309063633,10.736117181772721
FB001852,B,Bottoms,64.37946220103811,10.729910366839684
FB000769,B,Tops,64.35827589574717,10.726379315957862
FB002053,C,Accessories,64.32734419759697,10.72122403293283
FB001191,B,Outerwear,64.32714325088902,10.721190541814837
FB000389,B,Accessories,64.32355107329182,10.720591845548638
FB001669,A,Tops,64.3226284547867,10.720438075797782
FB000063,B,Accessories,64.31188466192935,10.718647443654893
FB001673,B,Tops,64.31057690436737,10.718429484061227
FB001642,B,Accessories,64.28070678434898,10.71345113072483
FB001682,B,Dresses,64.24391649744547,10.707319416240912
FB002105,B,Accessories,64.24158381252008,10.706930635420013
FB001545,B,Accessories,64.24140454010539,10.706900756684233
FB001719,B,Accessories,64.23889192547765,10.706481987579608
FB000079,B,Tops,64.23420314505134,10.705700524175223
FB000451,B,Accessories,64.2244163137216,10.704069385620267
FB000656,B,Accessories,64.214376109841,10.702396018306834
FB001864,B,Bottoms,64.20627067239586,10.701045112065977
FB001608,C,Accessories,64.1941060753914,10.6990176792319
FB001559,A,Tops,64.17699406552624,10.696165677587707
FB000346,B,Tops,64.15891066793228,10.693151777988712
FB001158,A,Accessories,64.13174254529065,10.688623757548442
FB001861,A,Accessories,64.06936827356444,10.678228045594073
FB001881,A,Accessories,64.06527858792737,10.677546431321227
FB001566,B,Bottoms,64.05963907946598,10.67660651324433
FB001883,A,Accessories,64.04665997642391,10.674443329403985
FB001696,A,Accessories,64.03850432943614,10.673084054906022
FB001511,A,Bottoms,64.03298565911328,10.67216427651888
FB000753,B,Accessories,64.03097243705656,10.671828739509428
FB000421,B,Dresses,64.00625549402153,10.667709249003588
FB000531,A,Shoes,63.969336860559174,10.661556143426528
FB001717,A,Bottoms,63.96272178993766,10.660453631656276
FB000723,B,Accessories,63.94063484829774,10.65677247471629
FB001390,A,Tops,63.93699996014763,10.656166660024605
FB001326,B,Accessories,63.923240780034064,10.65387346333901
FB001617,B,Shoes,63.9220116372079,10.653668606201316
FB000622,A,Accessories,63.88289628205691,10.64714938034282
FB000747,B,Outerwear,63.88256828375402,10.647094713959003
FB001148,A,Tops,63.864728434603315,10.644121405767219
FB001536,C,Dresses,63.84080683196885,10.640134471994807
FB000800,A,Outerwear,63.832429662968146,10.638738277161357
FB000400,A,Outerwear,63.816781075346114,10.636130179224352
FB000757,B,Accessories,63.815037418940896,10.635839569823483
FB001816,A,Accessories,63.80618856674982,10.634364761124969
FB000116,C,Tops,63.760790401062195,10.626798400177032
FB001097,A,Shoes,63.760526267846814,10.62675437797447
FB002057,B,Shoes,63.75656191886097,10.626093653143494
FB002172,B,Tops,63.75490826876276,10.625818044793794
FB000190,B,Bottoms,63.73911169805373,10.623185283008956
FB001350,C,Outerwear,63.7353379989763,10.622556333162716
FB001185,B,Bottoms,63.73407643938678,10.62234607323113
FB001081,B,Dresses,63.72101208301554,10.620168680502589
FB001211,A,Shoes,63.71665755128109,10.619442925213514
FB000931,B,Accessories,63.71355444310777,10.61892574051796
FB001453,A,Tops,63.70041878364824,10.616736463941374
FB000445,A,Accessories,63.6913578889153,10.615226314819216
FB001780,B,Dresses,63.67604433412862,10.612674055688103
FB000067,B,Accessories,63.670556339028046,10.611759389838008
FB000186,B,Bottoms,63.637175454433496,10.60619590907225
FB000765,B,Shoes,63.615163311049514,10.602527218508252
FB001707,B,Dresses,63.61165241147348,10.601942068578913
FB001740,B,Tops,63.60468420563754,10.60078070093959
FB000750,B,Accessories,63.59149275242819,10.598582125404699
FB000377,B,Outerwear,63.575232453229944,10.595872075538324
FB000462,B,Accessories,63.56732579708015,10.594554299513359
FB001853,B,Accessories,63.56310698068604,10.593851163447672
FB001547,B,Accessories,63.5613180491925,10.59355300819875
FB000155,B,Dresses,63.55730738160162,10.59288456360027
FB001970,A,Tops,63.55125136270306,10.591875227117177
FB000033,B,Shoes,63.51910944675505,10.586518241125843
FB001317,A,Bottoms,63.511043601936166,10.585173933656028
FB000307,C,Accessories,63.49000845415526,10.581668075692543
FB001776,B,Outerwear,63.483531347993036,10.580588557998839
FB001127,C,Dresses,63.477366707850784,10.57956111797513
FB000645,C,Outerwear,63.429858376615414,10.571643062769235
FB001550,B,Bottoms,63.418457763153015,10.569742960525502
FB000638,B,Shoes,63.404750219453604,10.567458369908934
FB001946,B,Outerwear,63.39469993643206,10.565783322738676
FB001791,B,Accessories,63.377049602286405,10.562841600381068
FB001002,A,Tops,63.37608253932469,10.562680423220781
FB001414,B,Accessories,63.35942575662398,10.559904292770662
FB001687,A,Dresses,63.35886220761199,10.559810367935333
FB002079,B,Shoes,63.3587429345921,10.559790489098683
FB001945,A,Bottoms,63.35413661885525,10.559022769809209
FB001842,C,Tops,63.345840564087126,10.557640094014522
FB001789,B,Bottoms,63.344833899298024,10.55747231654967
FB000730,C,Bottoms,63.34109329991682,10.55684888331947
FB000821,B,Bottoms,63.33997059692747,10.556661766154578
FB000933,C,Accessories,63.33152441906904,10.55525406984484
FB001020,A,Shoes,63.310487548733114,10.551747924788852
FB001351,B,Outerwear,63.30437481539005,10.550729135898342
FB000840,B,Accessories,63.30071039935232,10.550118399892053
FB000905,B,Accessories,63.29615626125903,10.549359376876504
FB001538,C,Tops,63.28215138872168,10.547025231453613
FB001056,B,Outerwear,63.27607248698843,10.546012081164738
FB001422,A,Accessories,63.27429433014953,10.545715721691588
FB000614,C,Accessories,63.26058433381418,10.543430722302363
FB000156,B,Tops,63.25969437216506,10.543282395360842
FB000085,A,Outerwear,63.24108069792953,10.540180116321588
FB000785,A,Outerwear,63.240528615114954,10.540088102519158
FB002055,B,Accessories,63.23125327168294,10.538542211947156
FB000318,B,Dresses,63.21052937321991,10.535088228869986
FB001302,B,Accessories,63.18918782900461,10.531531304834102
FB001954,B,Tops,63.168398208157555,10.52806636802626
FB001701,B,Shoes,63.14497752340594,10.524162920567656
FB001339,A,Accessories,63.14359364628221,10.52393227438037
FB001004,A,Outerwear,63.12811151345458,10.521351918909096
FB000099,A,Bottoms,63.1167577150434,10.5194596191739
FB000035,A,Accessories,63.10992260333592,10.51832043388932
FB001987,A,Accessories,63.10761797965938,10.51793632994323
FB001906,C,Accessories,63.106859357410116,10.517809892901687
FB000597,B,Shoes,63.1037323284105,10.51728872140175
FB000788,B,Tops,63.10053465672178,10.516755776120297
FB001144,B,Tops,63.099165055952696,10.51652750932545
FB000602,B,Accessories,63.091501080537995,10.515250180089666
FB000633,B,Bottoms,63.0909337379278,10.515155622987967
FB001408,C,Tops,63.088395213196435,10.514732535532739
FB001835,B,Shoes,63.068126870764004,10.511354478460667
FB000589,B,Accessories,63.028955469495415,10.50482591158257
FB001609,C,Tops,63.00823322071841,10.501372203453068
FB001974,B,Bottoms,63.00279126422912,10.500465210704853
FB001958,C,Shoes,62.99400105220471,10.499000175367451
FB001685,B,Shoes,62.93923583977198,10.489872639961996
FB000441,B,Shoes,62.938690987545584,10.489781831257597
FB000213,B,Tops,62.935864506293825,10.48931075104897
FB000506,A,Accessories,62.92686282820536,10.48781047136756
FB002147,B,Accessories,62.92514225522514,10.48752370920419
FB001182,A,Accessories,62.92160473655849,10.486934122759749
FB000478,A,Accessories,62.911602664271555,10.485267110711925
FB001761,C,Accessories,62.90412396883838,10.484020661473062
FB002012,C,Tops,62.9030767381129,10.483846123018816
FB002130,C,Shoes,62.90173046176544,10.483621743627573
FB001256,B,Accessories,62.90100197722703,10.483500329537838
FB000361,C,Tops,62.89860284415668,10.483100474026113
FB001378,B,Bottoms,62.886423455812604,10.481070575968767
FB001634,C,Shoes,62.87642238245766,10.47940373040961
FB001877,A,Tops,62.868833261511526,10.478138876918587
FB000468,A,Tops,62.86772883201688,10.477954805336147
FB001463,A,Accessories,62.867251065510885,10.477875177585148
FB000456,B,Bottoms,62.86714141097116,10.477856901828526
FB000827,B,Tops,62.8638464231521,10.477307737192016
FB001167,C,Bottoms,62.85783670963241,10.476306118272069
FB002075,C,Tops,62.85614247347458,10.476023745579097
FB002039,A,Tops,62.85563799651098,10.475939666085162
FB000719,C,Outerwear,62.8476659012527,10.474610983542116
FB000575,B,Accessories,62.84529681787086,10.47421613631181
FB000526,A,Tops,62.83423210068676,10.472372016781128
FB000309,A,Tops,62.819673579399335,10.469945596566555
FB001462,C,Bottoms,62.80547104548143,10.467578507580239
FB000766,B,Bottoms,62.793914296392586,10.465652382732097
FB002074,C,Accessories,62.779194394349815,10.46319906572497
FB000987,B,Outerwear,62.77026842604553,10.461711404340923
FB002124,C,Outerwear,62.76759177678247,10.461265296130412
FB002006,B,Tops,62.75033829398038,10.458389715663396
FB000695,B,Tops,62.73582554203773,10.455970923672956
FB002028,A,Accessories,62.7330940168697,10.455515669478283
FB000334,A,Accessories,62.714390476240084,10.45239841270668
FB000806,B,Accessories,62.698732471114866,10.449788745185812
FB001149,B,Bottoms,62.6965573604959,10.449426226749317
FB001301,A,Accessories,62.69222216306889,10.448703693844815
FB001041,A,Tops,62.68871753505812,10.448119589176352
FB000459,A,Tops,62.68617539906056,10.447695899843426
FB001765,A,Accessories,62.679719285053494,10.446619880842249
FB000216,B,Tops,62.679566529350566,10.446594421558428
FB001428,C,Tops,62.67547347948505,10.445912246580841
FB001691,A,Accessories,62.6752844502369,10.44588074170615
FB000142,B,Outerwear,62.674732520625135,10.445788753437522
FB000515,B,Outerwear,62.67119408378342,10.445199013963903
FB001347,A,Tops,62.67077477178786,10.44512912863131
FB001035,A,Outerwear,62.667825083874604,10.444637513979101
FB000639,B,Bottoms,62.657278045651864,10.44287967427531
FB001482,C,Dresses,62.65347784090805,10.442246306818008
FB001076,B,Accessories,62.6409972635243,10.440166210587384
FB000473,C,Shoes,62.62614242969606,10.437690404949343
FB002003,B,Outerwear,62.6121023290781,10.435350388179684
FB000209,A,Tops,62.60796303816432,10.43466050636072
FB002171,B,Tops,62.55422775433047,10.425704625721744
FB000681,A,Accessories,62.55120966940842,10.42520161156807
FB001557,C,Bottoms,62.544752287973424,10.424125381328905
FB001672,A,Shoes,62.537267108096245,10.422877851349375
FB001359,A,Accessories,62.53070046896613,10.421783411494355
FB001065,B,Shoes,62.52680151891353,10.421133586485588
FB001612,A,Bottoms,62.52423929688797,10.420706549481329
FB000989,C,Shoes,62.51780551227645,10.419634252046075
FB000238,B,Accessories,62.51032219284151,10.41838703214025
FB001551,B,Tops,62.49363290547829,10.415605484246383
FB000574,B,Outerwear,62.49020977310358,10.41503496218393
FB001555,A,Tops,62.4867481906405,10.414458031773416
FB000683,C,Bottoms,62.486460156378556,10.414410026063093
FB000925,B,Tops,62.48638391753833,10.414397319589723
FB001926,A,Accessories,62.48247642850477,10.413746071417462
FB000443,C,Accessories,62.481072015546005,10.413512002591
FB002138,B,Bottoms,62.47781422884292,10.412969038140487
FB001905,B,Tops,62.462095609511366,10.410349268251894
FB001823,B,Tops,62.459775533513465,10.40996258891891
FB001403,A,Tops,62.4566145678734,10.409435761312233
FB000410,B,Accessories,62.45454104915429,10.409090174859047
FB001288,C,Accessories,62.44048159840868,10.406746933068113
FB000204,B,Outerwear,62.43999148272067,10.406665247120111
FB000291,B,Tops,62.42278188230736,10.403796980384561
FB001234,B,Outerwear,62.42243704411563,10.403739507352606
FB000605,C,Accessories,62.418003458053235,10.403000576342206
FB000380,A,Accessories,62.41028376438902,10.401713960731504
FB001225,B,Shoes,62.400457817527354,10.400076302921226
FB000175,C,Dresses,62.400017783191984,10.400002963865331
FB001785,C,Outerwear,62.39835833459526,10.399726389099209
FB000013,A,Bottoms,62.39134992320234,10.398558320533724
FB000253,A,Tops,62.38026193195324,10.396710321992208
FB000218,B,Tops,62.38010070973837,10.396683451623062
FB001677,A,Accessories,62.37609070356564,10.396015117260939
FB000621,B,Tops,62.369254963910336,10.394875827318389
FB001043,A,Bottoms,62.36780583380312,10.394634305633852
FB001919,B,Dresses,62.35687361188609,10.392812268647681
FB001224,A,Accessories,62.349991584160904,10.391665264026818
FB000819,B,Accessories,62.344234893931386,10.390705815655231
FB000262,B,Dresses,62.3385176460836,10.389752941013933
FB001528,A,Accessories,62.33774692253351,10.389624487088918
FB001312,A,Bottoms,62.336269467735185,10.389378244622531
FB001253,A,Bottoms,62.3041005578735,10.384016759645583
FB001435,C,Dresses,62.29680091764368,10.382800152940613
FB000970,A,Outerwear,62.29521065111632,10.382535108519386
FB001037,B,Tops,62.28630952411464,10.38105158735244
FB000801,C,Tops,62.2834327683949,10.380572128065817
FB001606,C,Dresses,62.27767302563075,10.379612170938458
FB001219,A,Tops,62.26602576472827,10.377670960788045
FB002092,A,Accessories,62.25118317195491,10.375197195325818
FB000720,C,Tops,62.2461322041823,10.374355367363718
FB001268,B,Bottoms,62.24501095761191,10.374168492935318
FB000151,B,Tops,62.227690561705046,10.371281760284175
FB001352,B,Bottoms,62.21802183045045,10.369670305075076
FB000974,C,Accessories,62.216227302801,10.3693712171335
FB001647,A,Outerwear,62.20511991982475,10.36751998663746
FB001133,B,Outerwear,62.18926335618272,10.364877226030453
FB001837,A,Tops,62.184240880198146,10.364040146699692
FB000692,B,Bottoms,62.18043650364768,10.36340608394128
FB000303,B,Bottoms,62.17330384750744,10.362217307917907
FB000603,C,Bottoms,62.16033497672991,10.360055829454984
FB001088,A,Dresses,62.14820879536511,10.358034799227518
FB000618,A,Bottoms,62.14734933098535,10.357891555164224
FB001670,C,Outerwear,62.144176183031256,10.357362697171876
FB001711,A,Accessories,62.139037151085915,10.356506191847652
FB002088,A,Bottoms,62.137080373345526,10.356180062224254
FB000967,B,Dresses,62.13349751376634,10.355582918961057
FB001928,C,Dresses,62.1316292234469,10.35527153724115
FB000915,A,Tops,62.129881490361825,10.354980248393638
FB000283,B,Shoes,62.128963493516125,10.354827248919355
FB002102,A,Accessories,62.128272627802545,10.354712104633757
FB000302,B,Shoes,62.12689660997157,10.354482768328594
FB000509,B,Bottoms,62.12588835962542,10.354314726604237
FB001452,B,Shoes,62.11877389611624,10.353128982686039
FB002140,A,Tops,62.11393003048519,10.352321671747532
FB002169,A,Shoes,62.11247644848305,10.352079408080508
FB000167,A,Accessories,62.107473472475874,10.35124557874598
FB000188,C,Tops,62.10711120189532,10.351185200315888
FB001467,B,Bottoms,62.098260943218506,10.349710157203084
FB001449,A,Accessories,62.09580843412863,10.349301405688104
FB000888,A,Accessories,62.09112188420161,10.348520314033602
FB000985,B,Bottoms,62.0869055413754,10.347817590229234
FB000627,C,Tops,62.08637957892313,10.347729929820522
FB000016,B,Accessories,62.08480935886027,10.347468226476712
FB000261,A,Outerwear,62.078723524017676,10.346453920669612
FB000367,A,Outerwear,62.07492803186594,10.345821338644322
FB001933,B,Shoes,62.07330316996289,10.345550528327148
FB001509,A,Shoes,62.072558760472646,10.345426460078775
FB001011,A,Dresses,62.07134957395863,10.345224928993105
FB000325,C,Outerwear,62.06863262348625,10.344772103914375
FB001151,A,Tops,62.06160742937797,10.343601238229661
FB001106,A,Accessories,62.05915026675518,10.343191711125863
FB002063,B,Accessories,62.05835413541726,10.343059022569543
FB000516,C,Bottoms,62.05530754333516,10.342551257222526
FB000281,C,Accessories,62.050862350462026,10.341810391743671
FB001810,A,Accessories,62.045568737065466,10.340928122844245
FB002161,C,Dresses,62.043793652375925,10.340632275395988
FB001444,B,Tops,62.02909831724719,10.338183052874532
FB000431,A,Accessories,62.01925767254316,10.33654294542386
FB000520,B,Bottoms,62.00942828034928,10.334904713391547
FB001235,B,Accessories,62.00103013221141,10.333505022035235
FB000031,B,Shoes,61.99865744129028,10.333109573548379
FB001461,A,Accessories,61.99589241282183,10.332648735470306
FB000091,A,Shoes,61.99196650564589,10.331994417607648
FB000897,A,Accessories,61.988341124940234,10.331390187490038
FB000950,C,Accessories,61.986345123145384,10.331057520524231
FB000072,B,Outerwear,61.98256859173209,10.330428098622015
FB001708,A,Outerwear,61.98142521751505,10.33023753625251
FB001393,B,Tops,61.96271690630499,10.327119484384164
FB001335,A,Bottoms,61.95668194441039,10.326113657401732
FB001739,C,Tops,61.944625240702564,10.32410420678376
FB001405,A,Accessories,61.94247703664463,10.323746172774106
FB000732,A,Dresses,61.93945164737893,10.323241941229822
FB002101,A,Tops,61.923653898256546,10.320608983042758
FB000272,A,Bottoms,61.923466949362506,10.320577824893752
FB000880,B,Bottoms,61.91642579160691,10.319404298601151
FB002033,C,Tops,61.914119777140954,10.319019962856826
FB001473,B,Bottoms,61.913198986025584,10.31886649767093
FB000679,B,Accessories,61.91195735169879,10.318659558616465
FB001263,B,Outerwear,61.9102181719465,10.318369695324416
FB001391,C,Dresses,61.90705628796739,10.317842714661232
FB000596,A,Shoes,61.903477704430685,10.31724628407178
FB000279,B,Outerwear,61.897534189937716,10.316255698322953
FB001596,A,Shoes,61.89620618659549,10.316034364432582
FB001146,C,Outerwear,61.88902286495446,10.314837144159076
FB000024,A,Dresses,61.884382445826276,10.314063740971045
FB001058,A,Accessories,61.877051069495735,10.312841844915956
FB001169,B,Outerwear,61.87620388721672,10.312700647869454
FB001653,A,Accessories,61.874617398921,10.3124362331535
FB000813,B,Bottoms,61.8734475846679,10.312241264111316
FB001491,C,Shoes,61.86591300883952,10.310985501473253
FB000850,B,Shoes,61.86580657590429,10.310967762650714
FB001982,B,Tops,61.85648120710525,10.30941353451754
FB001938,B,Outerwear,61.85491672503346,10.309152787505576
FB000804,B,Accessories,61.85138948384776,10.308564913974626
FB000583,A,Tops,61.84910838304501,10.3081847305075
FB000760,C,Dresses,61.82441577765681,10.304069296276134
FB000578,B,Accessories,61.81883522701514,10.303139204502523
FB000571,C,Tops,61.818731554483506,10.30312192574725
FB000277,C,Shoes,61.816644435634686,10.30277407260578
FB002106,B,Tops,61.814671992231496,10.302445332038582
FB000071,A,Shoes,61.80726252287977,10.301210420479961
FB001993,A,Shoes,61.803595824483324,10.300599304080555
FB000600,A,Outerwear,61.78953520970116,10.298255868283526
FB002023,A,Bottoms,61.788923283024786,10.298153880504131
FB000996,B,Dresses,61.775223925121544,10.295870654186924
FB002022,C,Dresses,61.77140366498247,10.295233944163746
FB001643,C,Dresses,61.76702741484636,10.29450456914106
FB001232,A,Accessories,61.75723092058294,10.292871820097156
FB001633,A,Accessories,61.74884687277684,10.29147447879614
FB001988,B,Shoes,61.74582823824579,10.290971373040966
FB001136,A,Outerwear,61.74482675963069,10.290804459938448
FB000820,A,Bottoms,61.73574069035221,10.289290115058702
FB001631,A,Accessories,61.73557803389508,10.28926300564918
FB002176,B,Shoes,61.72620471557889,10.287700785929815
FB000450,B,Bottoms,61.716995452340086,10.286165908723348
FB000963,A,Shoes,61.712176495439515,10.285362749239919
FB000466,C,Tops,61.711063386620566,10.285177231103427
FB001872,B,Shoes,61.710699316817646,10.285116552802942
FB001907,B,Tops,61.70973264456652,10.284955440761086
FB000193,B,Outerwear,61.70884202705835,10.284807004509725
FB000098,C,Bottoms,61.699632184666456,10.283272030777743
FB000171,A,Bottoms,61.68778801728175,10.281298002880291
FB002034,A,Outerwear,61.67996788013437,10.279994646689062
FB000094,B,Bottoms,61.67995049540117,10.27999174923353
FB000494,B,Outerwear,61.67646893468687,10.279411489114478
FB000312,B,Dresses,61.675497094035336,10.279249515672555
FB002144,A,Bottoms,61.66926024751126,10.278210041251876
FB001476,A,Accessories,61.666837968221216,10.277806328036869
FB000878,A,Accessories,61.666481085388796,10.2777468475648
FB000835,B,Dresses,61.66378502184867,10.277297503641444
FB001894,A,Shoes,61.66315817549196,10.277193029248659
FB000811,A,Dresses,61.66232516527599,10.277054194212665
FB000739,B,Bottoms,61.66159620762687,10.276932701271145
FB001583,A,Dresses,61.66073084049866,10.276788473416444
FB000948,C,Accessories,61.66000361830261,10.276667269717102
FB000626,A,Bottoms,61.657773711905534,10.276295618650922
FB000842,B,Outerwear,61.63497778061594,10.272496296769324
FB000624,A,Accessories,61.632511888089354,10.27208531468156
FB000333,C,Bottoms,61.630633155351575,10.271772192558595
FB000051,B,Bottoms,61.61803062647212,10.269671771078686
FB000215,B,Bottoms,61.61616098469871,10.269360164116451
FB000442,A,Accessories,61.61143309164595,10.268572181940991
FB001267,A,Outerwear,61.60230051739285,10.26705008623214
FB001656,A,Shoes,61.60162587141913,10.266937645236522
FB001213,B,Bottoms,61.588338622468086,10.26472310374468
FB002067,B,Bottoms,61.58147150370078,10.26357858395013
FB000056,B,Outerwear,61.57192620196059,10.261987700326765
