product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,total_sales,country,countryCode,longitude,latitude
FB000016,Accessories,Mango,Winter,,Green,67.57,0,67.57,8/6/2025,17,2.4,FALSE,,189,Philippines,PH,120.698354,15.053074
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0,123.53,8/6/2025,14,4.6,FALSE,,660,Philippines,PH,121.075225,14.651081
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0,102.35,8/6/2025,14,3.5,FALSE,,549,Philippines,PH,121.0538546,14.6190192
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,8/6/2025,16,4.1,FALSE,,709,Philippines,PH,120.58,15.16861688
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0,142.59,8/6/2025,1,3.7,FALSE,,733,Philippines,PH,125.61079,7.090658
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,8/6/2025,42,,FALSE,,882,Philippines,PH,124.651398,8.484991
FB000022,Accessories,Zara,Spring,,Brown,62.3,0,62.3,9/24/2024,10,2.5,FALSE,,311,Philippines,PH,121.058928,14.592131
FB000023,Accessories,Zara,Winter,,Pink,38.48,0,38.48,8/6/2025,46,1.2,FALSE,,902,Philippines,PH,123.918289,10.311916
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0,91.36,8/6/2025,37,1.2,TRUE,Size Issue,872,Philippines,PH,121.023183,14.552894
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,8/6/2025,38,3.6,FALSE,,933,Philippines,PH,122.551108,10.714587
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34,26.99,6/11/2025,16,3.7,FALSE,,804,Philippines,PH,121.011166,14.376249
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36,30.11,8/6/2025,25,1.1,TRUE,Damaged,847,Philippines,PH,120.592586,18.180249
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0,53.37,8/6/2025,28,3.8,FALSE,,874,Philippines,PH,120.533676,14.6557
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0,114.35,8/6/2025,6,1.2,FALSE,,847,Philippines,PH,121.0597176,14.24736634
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0,77.63,10/24/2024,1,,FALSE,,474,Philippines,PH,121.036314,14.65243
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0,71.29,8/6/2025,37,4.1,TRUE,Quality Issue,254,Philippines,PH,121.093248,14.61987
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,4/16/2025,5,,FALSE,,420,Philippines,PH,121.0004,14.6565
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0,143.78,10/16/2024,43,1.1,FALSE,,480,Philippines,PH,121.019501,14.576162
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0,88.23,8/6/2025,44,1.6,FALSE,,409,Philippines,PH,121.1730029,13.99901421
FB000035,Accessories,Forever21,Fall,,Navy,58.57,0,58.57,8/6/2025,38,1.5,FALSE,,835,Philippines,PH,120.99,14.48
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,8/6/2025,37,4.9,FALSE,,987,Philippines,PH,120.59,16.4
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,8/6/2025,31,4.1,FALSE,,738,Philippines,PH,120.283,14.8363
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0,110.09,8/6/2025,32,3.4,FALSE,,419,Philippines,PH,120.9682,14.4311
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,8/6/2025,10,,FALSE,,329,Philippines,PH,121.06,14.35
FB000040,Bottoms,Banana Republic,Winter,,Purple,101.72,0,101.72,8/6/2025,40,,FALSE,,224,Philippines,PH,121.054685,14.547374
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0,117.86,8/6/2025,6,,FALSE,,797,Austria,AT,14.35865388,46.76787112
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0,78.86,8/6/2025,22,4.3,FALSE,,449,Austria,AT,16.04988763,48.33094632
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,8/6/2025,36,4,FALSE,,710,Austria,AT,16.21829563,47.8183144
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0,129.85,4/25/2025,36,3.3,FALSE,,542,Austria,AT,16.47129041,48.17016843
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0,111.3,8/6/2025,11,1.7,FALSE,,194,Austria,AT,13.0687851,47.7750735
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0,73.65,8/6/2025,33,3.6,FALSE,,771,Austria,AT,16.42267875,48.20966424
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,8/6/2025,13,4.4,FALSE,,977,Austria,AT,14.83920797,46.84237385
FB000048,Accessories,Ann Taylor,Winter,,Green,44.6,53.9,20.56,8/6/2025,42,2.4,FALSE,,806,Austria,AT,13.2188533,47.4173902
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0,101.8,8/6/2025,7,2.8,FALSE,,133,Austria,AT,16.5722,48.56987223
FB000050,Accessories,Banana Republic,Summer,,Brown,16.52,55.9,7.29,8/6/2025,43,,FALSE,,521,Austria,AT,15.46147666,47.04171051
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0,50.91,8/6/2025,3,1.8,FALSE,,686,Austria,AT,16.25691219,47.82417417
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0,222.26,5/3/2025,50,4.5,FALSE,,649,Austria,AT,16.35494151,48.19986893
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,8/6/2025,14,1.8,FALSE,,925,Austria,AT,15.62857045,47.21781127
FB000054,Outerwear,Zara,Spring,S,White,166.76,0,166.76,6/12/2025,21,4.2,FALSE,,281,Austria,AT,16.855765,47.97684
FB000055,Accessories,Banana Republic,Fall,,Black,44.13,50.9,21.67,8/6/2025,21,3,FALSE,,948,Austria,AT,16.31776571,48.11170077
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,8/6/2025,42,,FALSE,,446,Austria,AT,15.4172832,47.0340747
FB000057,Tops,H&M,Spring,S,Beige,73.71,0,73.71,7/10/2025,35,3.9,TRUE,Quality Issue,951,Austria,AT,14.24892426,48.19515855
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,61.96,10/25/2024,19,2.3,TRUE,Size Issue,252,Austria,AT,14.23622131,48.24399631
FB000059,Tops,Mango,Summer,XS,Black,28.59,0,28.59,8/6/2025,39,1.4,FALSE,,232,Austria,AT,11.4309566,47.2626763
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,8/6/2025,27,,FALSE,,225,Austria,AT,16.3484966,48.1977447
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,8/6/2025,15,4,FALSE,,936,Austria,AT,14.30733204,46.6253033
FB000062,Outerwear,Gap,Fall,M,Purple,218.42,0,218.42,8/6/2025,33,4.4,TRUE,Changed Mind,871,Austria,AT,16.376132,48.1793733
FB000063,Accessories,Forever21,Winter,,White,46.17,1.1,45.66,8/6/2025,30,1.9,FALSE,,687,Austria,AT,13.00536633,47.81574824
FB000064,Shoes,H&M,Summer,,Green,106.18,18,87.07,8/6/2025,11,4.5,FALSE,,364,Austria,AT,16.43468857,48.24205284
FB000065,Tops,Zara,Winter,XS,Gray,93.33,2.4,91.09,8/6/2025,20,4.2,FALSE,,111,Austria,AT,16.3299526,48.1775916
FB000066,Bottoms,Mango,Spring,XS,White,86.54,21.7,67.76,6/1/2025,21,3.6,TRUE,Changed Mind,436,Austria,AT,15.6226532,48.2067485
FB000067,Accessories,Ann Taylor,Summer,,Green,55.57,0,55.57,8/6/2025,44,3.8,FALSE,,410,Austria,AT,9.7107662,47.411961
FB000068,Tops,Forever21,Spring,XL,Black,76.5,0,76.5,1/26/2025,17,4.6,FALSE,,966,Austria,AT,15.6207407,48.4163398
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,4/1/2025,17,,FALSE,,174,Austria,AT,15.43830156,47.07092564
FB000070,Tops,Zara,Summer,XL,Purple,48.92,19.8,39.23,8/6/2025,17,2.6,FALSE,,992,Austria,AT,16.334021,48.204065
FB000071,Shoes,Ann Taylor,Winter,XL,White,69.82,0,69.82,8/6/2025,46,,TRUE,Wrong Item,649,Austria,AT,16.39881134,48.26642661
FB000072,Outerwear,Mango,Summer,XXL,Red,199.39,7.4,184.64,8/6/2025,49,,FALSE,,662,Austria,AT,15.427395,47.059464
FB000073,Outerwear,Banana Republic,Summer,M,White,222.09,55.2,99.5,8/6/2025,21,4.5,FALSE,,259,Austria,AT,16.38486385,48.24102391
FB000074,Tops,Mango,Fall,XS,Red,112.86,0,112.86,8/6/2025,8,2.9,FALSE,,521,Austria,AT,14.2906873,48.3005325
FB000075,Dresses,Mango,Spring,XS,Green,100.96,0,100.96,5/10/2025,32,3.3,FALSE,,940,Austria,AT,15.2912917,47.4445773
FB000076,Outerwear,Gap,Spring,XL,Green,243.56,48,126.65,10/14/2024,22,4.4,TRUE,Changed Mind,884,Austria,AT,14.415586,48.037362
FB000077,Dresses,Mango,Spring,XXL,Red,153.32,0,153.32,9/13/2024,43,2.9,FALSE,,926,Austria,AT,15.63706398,48.22278563
FB000078,Accessories,Uniqlo,Fall,,Purple,42.95,22.5,33.29,8/6/2025,7,1.9,TRUE,Size Issue,156,Austria,AT,12.7660834,46.8293647
FB000079,Tops,H&M,Summer,S,Green,30.79,0,30.79,8/6/2025,36,3.4,FALSE,,337,Austria,AT,12.0689106,47.48815101
FB000080,Accessories,Uniqlo,Fall,,Brown,59.85,0,59.85,8/6/2025,38,4,FALSE,,781,Austria,AT,14.02469158,48.15861417
FB000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,7/25/2025,23,,FALSE,,275,Austria,AT,14.86896515,48.12127023
FB000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,8/6/2025,15,4.9,FALSE,,240,Austria,AT,9.812164307,47.15064735
FB000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,0,174.13,8/6/2025,34,3.7,FALSE,,451,Austria,AT,16.41664267,48.1739491
FB000084,Shoes,Zara,Summer,XS,Purple,191.96,0,191.96,8/6/2025,50,,FALSE,,890,Austria,AT,15.4130484,47.0137661
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige,222.55,22.6,172.25,2/10/2025,50,,FALSE,,678,Austria,AT,16.52564764,47.84697796
FB000086,Bottoms,Forever21,Winter,XS,Black,37.85,11.9,33.35,8/6/2025,45,3.4,TRUE,Changed Mind,815,Austria,AT,15.44207811,47.06848493
FB000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,0,241.09,8/6/2025,26,,FALSE,,141,Austria,AT,9.59625721,47.23705385
FB000088,Dresses,Banana Republic,Spring,S,Navy,136.97,0,136.97,10/25/2024,17,4.4,TRUE,Quality Issue,182,Austria,AT,16.370744,48.2050746
FB000089,Shoes,H&M,Spring,M,Blue,113.79,55.3,50.86,12/29/2024,47,4.1,FALSE,,121,Austria,AT,16.21706486,48.20785856
FB000090,Bottoms,H&M,Summer,XXL,White,93.23,40,55.94,8/6/2025,46,1.9,FALSE,,180,Austria,AT,13.97284985,48.14564424
FB000091,Shoes,Uniqlo,Spring,S,Navy,106.24,6.4,99.44,9/9/2024,50,1.5,FALSE,,986,Austria,AT,13.49121094,46.79765043
FB000092,Accessories,Zara,Winter,,Brown,30.95,0,30.95,8/6/2025,27,3.1,TRUE,Changed Mind,884,Austria,AT,14.3207913,46.6137386
FB000093,Shoes,Zara,Summer,S,Black,76.92,49.5,38.84,8/6/2025,7,1.1,FALSE,,169,Austria,AT,16.3706297,48.2079584
FB000094,Bottoms,H&M,Fall,XS,Beige,80.64,0,80.64,8/6/2025,26,,FALSE,,279,Austria,AT,16.36659265,48.2536554
FB000095,Bottoms,Zara,Fall,XS,Beige,32.46,52.4,15.45,8/6/2025,14,3.9,FALSE,,956,Austria,AT,13.8359808,46.5962443
FB000096,Accessories,Gap,Summer,,Black,54.79,0,54.79,8/6/2025,12,4.5,FALSE,,898,Austria,AT,14.30853367,46.62657062
FB000097,Bottoms,H&M,Winter,M,Pink,71.14,56.4,31.02,8/6/2025,12,3.4,FALSE,,648,Austria,AT,15.095388,47.3820104
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy,57.85,0,57.85,8/6/2025,36,3.5,FALSE,,333,Austria,AT,11.4042132,47.2659082
FB000099,Bottoms,Zara,Summer,XS,Green,33.37,3,32.37,8/6/2025,40,1.3,FALSE,,553,Austria,AT,14.2881778,48.3039772
FB000100,Tops,Gap,Summer,L,Black,91.83,0,91.83,8/6/2025,39,4.9,FALSE,,580,Austria,AT,12.7950165,47.2985103
FB000101,Bottoms,Zara,Fall,L,White,60.12,19.5,48.4,8/6/2025,42,1,FALSE,,599,Austria,AT,15.413697,47.0134109
FB000102,Dresses,Banana Republic,Winter,S,White,163.5,0,163.5,8/6/2025,34,4.9,FALSE,,275,Austria,AT,16.18620872,47.28660183
FB000103,Dresses,Uniqlo,Spring,S,Beige,126.37,0,126.37,11/8/2024,25,1.8,FALSE,,553,Austria,AT,16.27946377,48.13705308
FB000104,Bottoms,Uniqlo,Winter,L,Navy,50.01,58.2,20.9,8/6/2025,32,4.8,FALSE,,214,Austria,AT,14.24455225,47.56457487
FB000105,Shoes,H&M,Winter,S,Red,84.31,0,84.31,8/6/2025,10,3.9,FALSE,,419,Austria,AT,13.668585,48.0029587
FB000106,Bottoms,Banana Republic,Spring,XL,Beige,100.98,0,100.98,6/17/2025,21,2.8,FALSE,,772,Austria,AT,11.06968045,47.30545501
FB000107,Bottoms,Banana Republic,Summer,M,Beige,38.02,0,38.02,8/6/2025,44,4.7,FALSE,,598,Austria,AT,13.04377556,47.80003984
FB000108,Bottoms,H&M,Fall,XL,Blue,63.85,0,63.85,8/6/2025,41,,FALSE,,956,Austria,AT,11.3943044,47.2656143
FB000109,Shoes,H&M,Fall,XS,Navy,183.15,0,183.15,8/6/2025,23,4.1,FALSE,,784,Austria,AT,12.17027664,47.58451555
FB000110,Dresses,Zara,Winter,S,Gray,91,59.5,36.86,8/6/2025,5,3.9,FALSE,,882,Austria,AT,15.55634022,46.79574077
FB000111,Outerwear,Uniqlo,Spring,L,Black,92.83,0,92.83,7/20/2025,9,1.2,FALSE,,948,Australia,AU,144.9634988,-37.81400551
FB000112,Accessories,Banana Republic,Winter,,Brown,34.45,0,34.45,8/6/2025,4,4.5,FALSE,,724,Australia,AU,151.2083892,-33.86941339
FB000113,Dresses,H&M,Fall,S,Purple,128.15,50,64.08,8/6/2025,28,3.2,FALSE,,860,Australia,AU,151.119429,-33.77582
FB000114,Tops,Mango,Summer,XXL,Red,99.62,33.8,65.95,8/6/2025,27,2.1,FALSE,,888,Australia,AU,153.0820713,-27.56304094
FB000115,Bottoms,Forever21,Winter,S,Pink,87.39,25.5,65.11,8/6/2025,8,2.3,FALSE,,388,Australia,AU,152.971777,-27.501124
FB000116,Tops,Zara,Spring,XXL,Brown,49.67,0,49.67,9/6/2024,37,2.3,FALSE,,169,Australia,AU,115.7677097,-31.743974
FB000117,Accessories,Uniqlo,Fall,,Brown,72.04,0,72.04,8/6/2025,48,,TRUE,Wrong Item,616,Australia,AU,145.2297736,-37.81402648
FB000118,Dresses,Zara,Spring,M,Navy,133.82,0,133.82,11/25/2024,12,1.7,FALSE,,395,Australia,AU,153.0257905,-27.46892012
FB000119,Bottoms,Uniqlo,Winter,S,Black,62.93,0,62.93,8/6/2025,49,,FALSE,,354,Australia,AU,115.8570471,-31.9535132
FB000120,Outerwear,Zara,Spring,L,Red,248.58,0,248.58,7/4/2025,27,1.5,FALSE,,752,Australia,AU,151.1931803,-33.88372889
FB000121,Shoes,Uniqlo,Fall,XXL,Navy,61.08,0,61.08,8/6/2025,27,,TRUE,Changed Mind,228,Australia,AU,145.082724,-37.885837
FB000122,Bottoms,Gap,Winter,S,Red,109.12,0,109.12,8/6/2025,34,,FALSE,,852,Australia,AU,153.427799,-28.036715
FB000123,Outerwear,Zara,Winter,XXL,Purple,82.91,45.9,44.85,8/6/2025,24,,TRUE,Quality Issue,490,Australia,AU,151.6941819,-32.96331998
FB000124,Shoes,H&M,Summer,XS,Purple,113.53,10.9,101.16,8/6/2025,40,2.8,FALSE,,851,Australia,AU,153.032313,-27.384483
FB000125,Accessories,Uniqlo,Winter,,Brown,38.89,51.5,18.86,8/6/2025,28,4.3,FALSE,,385,Australia,AU,151.266161,-33.767004
FB000126,Dresses,Gap,Spring,XXL,Black,53.01,45.9,28.68,1/14/2025,37,3.7,FALSE,,188,Australia,AU,144.6804517,-37.8761715
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue,81.64,0,81.64,12/6/2024,50,1.1,FALSE,,300,Australia,AU,151.001693,-33.817172
FB000128,Shoes,Ann Taylor,Spring,XXL,White,125.24,21.5,98.31,9/6/2024,7,2.9,FALSE,,294,Australia,AU,150.7978241,-34.07457115
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink,98.61,0,98.61,3/5/2025,1,2.6,FALSE,,785,Australia,AU,150.8945069,-34.42499613
FB000130,Shoes,Gap,Fall,XS,Blue,77.54,0,77.54,8/6/2025,36,3.4,FALSE,,576,Australia,AU,138.6016683,-34.92271078
FB000131,Dresses,Banana Republic,Spring,XL,Purple,79.13,0,79.13,11/16/2024,11,3.6,FALSE,,427,Australia,AU,151.711078,-32.941769
FB000132,Bottoms,Mango,Spring,S,Green,96.11,0,96.11,4/12/2025,13,4.2,FALSE,,542,Australia,AU,151.9507805,-27.56179153
FB000133,Tops,Mango,Spring,XL,White,116.61,0,116.61,11/4/2024,31,,FALSE,,302,Australia,AU,153.3858036,-28.07843141
FB000134,Accessories,Ann Taylor,Winter,,Blue,57.8,27,42.19,8/6/2025,9,1.8,FALSE,,314,Australia,AU,149.1340918,-35.27944511
FB000135,Tops,H&M,Spring,S,White,110.78,0,110.78,1/13/2025,9,1.4,FALSE,,347,Australia,AU,115.9377567,-32.01885803
FB000136,Tops,Gap,Spring,L,Black,112.63,0,112.63,10/14/2024,50,3.6,TRUE,Quality Issue,805,Australia,AU,153.0853514,-26.65526483
FB000137,Tops,H&M,Summer,XS,Purple,89.36,0,89.36,8/6/2025,24,4.3,TRUE,Damaged,753,Australia,AU,144.9393,-37.8156
FB000138,Outerwear,Forever21,Fall,M,Pink,127.99,0,127.99,8/6/2025,16,,FALSE,,395,Australia,AU,150.7370121,-34.0406837
FB000139,Bottoms,Zara,Winter,XXL,Beige,54.88,58.8,22.61,8/6/2025,50,3.5,FALSE,,816,Australia,AU,147.3238148,-42.8819032
FB000140,Shoes,Uniqlo,Spring,L,White,154.13,0,154.13,10/1/2024,31,4.1,TRUE,Size Issue,550,Australia,AU,115.741849,-32.536703
FB000141,Dresses,Ann Taylor,Spring,XS,Gray,131.5,0,131.5,11/3/2024,5,,FALSE,,235,Australia,AU,145.166,-37.877
FB000142,Outerwear,Gap,Summer,M,Blue,133.26,0,133.26,8/6/2025,29,1.3,FALSE,,319,Australia,AU,115.7792113,-31.8769197
FB000143,Shoes,Forever21,Winter,XL,Red,173.91,0,173.91,8/6/2025,21,,FALSE,,402,Australia,AU,145.030038,-37.738477
FB000144,Tops,H&M,Spring,L,Beige,102.99,0,102.99,7/16/2025,41,3.9,FALSE,,326,Australia,AU,151.591413,-32.762523
FB000145,Outerwear,Zara,Spring,L,Beige,87.78,45.3,48.02,2/17/2025,34,1.8,FALSE,,642,Australia,AU,151.4147489,-33.3081324
FB000146,Tops,Uniqlo,Winter,,Beige,91.8,15.8,77.3,8/6/2025,30,4.2,FALSE,,929,Australia,AU,153.3160569,-27.8537728
FB000147,Tops,Zara,Winter,L,White,107.32,25.4,80.06,8/6/2025,50,4.4,FALSE,,815,Bosnia and Herzegovina,BA,17.2073942,44.7797834
FB000148,Bottoms,Banana Republic,Spring,XXL,Brown,67.69,57.3,28.9,7/24/2025,50,4.6,FALSE,,359,Bosnia and Herzegovina,BA,18.65186082,44.5323218
FB000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46,36.78,8/6/2025,3,2.5,FALSE,,540,Belgium,BE,4.356465,50.834894
FB000150,Shoes,Banana Republic,Spring,L,Blue,94.29,0,94.29,9/15/2024,18,1.7,FALSE,,336,Belgium,BE,5.699448,50.987288
FB000151,Tops,Ann Taylor,Winter,XL,Gray,94.97,0,94.97,8/6/2025,46,4.3,FALSE,,348,Belgium,BE,3.722414,51.052997
FB000152,Shoes,Banana Republic,Winter,M,Navy,65.87,11.4,58.36,8/6/2025,15,3.9,FALSE,,824,Belgium,BE,4.036582,50.93855
FB000153,Dresses,Zara,Winter,XXL,Blue,155.06,29.4,109.47,8/6/2025,5,3.6,FALSE,,456,Belgium,BE,4.203336,50.486444
FB000154,Outerwear,Zara,Winter,L,Brown,172.59,0,172.59,8/6/2025,1,2.1,FALSE,,445,Belgium,BE,3.221606,51.206416
FB000155,Dresses,H&M,Summer,M,Blue,68.72,0,68.72,8/6/2025,28,1.7,TRUE,Quality Issue,417,Belgium,BE,5.597412,50.615339
FB000156,Tops,Banana Republic,Spring,XL,Blue,28.78,0,28.78,10/3/2024,21,,FALSE,,634,Belgium,BE,5.811147,49.607334
FB000157,Outerwear,H&M,Winter,XXL,Black,110.32,28.3,79.1,8/6/2025,49,3.3,FALSE,,362,Belgium,BE,3.838353,50.438471
FB000158,Shoes,Mango,Summer,XXL,Black,194.24,0,194.24,8/6/2025,17,1.2,TRUE,Changed Mind,178,Belgium,BE,4.707572,50.88008
FB000159,Shoes,Gap,Fall,XS,Beige,175.91,0,175.91,8/6/2025,4,2.8,FALSE,,531,Belgium,BE,3.127186,50.946643
FB000160,Bottoms,Mango,Winter,XXL,Gray,79.34,0,79.34,8/6/2025,30,4.4,FALSE,,659,Belgium,BE,4.2879,50.839188
FB000161,Bottoms,H&M,Summer,M,Green,111.88,0,111.88,8/6/2025,41,4.5,FALSE,,893,Belgium,BE,4.354663,50.851312
FB000162,Accessories,Gap,Spring,,Navy,42.84,40.6,25.45,9/12/2024,18,2.6,FALSE,,348,Belgium,BE,4.153208,51.151025
FB000163,Bottoms,Gap,Spring,XXL,Navy,26.28,1.1,25.99,6/20/2025,35,5,FALSE,,348,Belgium,BE,2.918629,51.231494
FB000164,Accessories,H&M,Spring,,Green,23.11,0,23.11,9/17/2024,2,1.4,FALSE,,763,Belgium,BE,4.410904,51.218175
FB000165,Shoes,Zara,Winter,M,White,168.36,0,168.36,8/6/2025,47,,TRUE,Damaged,799,Belgium,BE,4.501441,51.221984
FB000166,Shoes,Gap,Fall,XL,Green,99.26,0,99.26,8/6/2025,33,,TRUE,Quality Issue,692,Belgium,BE,4.866073,50.463382
FB000167,Accessories,Mango,Spring,,Black,53.66,0,53.66,12/19/2024,40,2.8,FALSE,,750,Belgium,BE,4.378093,51.190251
FB000168,Accessories,Ann Taylor,Summer,,Gray,69.71,18,57.16,8/6/2025,34,4.2,TRUE,Color Mismatch,684,Belgium,BE,4.437112,50.845459
FB000169,Dresses,Forever21,Fall,XXL,Gray,60.3,21.4,47.4,8/6/2025,4,3.6,FALSE,,944,Belgium,BE,4.616846,50.671102
FB000170,Shoes,Banana Republic,Winter,XXL,Red,113.58,0,113.58,8/6/2025,33,4.9,TRUE,Wrong Item,946,Belgium,BE,4.361917,50.837496
FB000171,Bottoms,Ann Taylor,Fall,XS,Brown,54.86,1.7,53.93,8/6/2025,40,2.5,FALSE,,847,Belgium,BE,5.498473,50.965248
FB000172,Tops,Zara,Winter,XS,Red,92.25,0,92.25,8/6/2025,13,2.8,TRUE,Damaged,801,Belgium,BE,4.398181,50.72023
FB000173,Accessories,Ann Taylor,Winter,,White,54.07,0,54.07,8/6/2025,47,4.6,FALSE,,692,Belgium,BE,4.280559,50.820337
FB000174,Shoes,Banana Republic,Winter,XL,Red,104.4,0,104.4,8/6/2025,41,3.4,FALSE,,419,Belgium,BE,5.188652,50.813952
FB000175,Dresses,Ann Taylor,Spring,M,Gray,45.97,0,45.97,8/28/2024,37,3.2,TRUE,Quality Issue,200,Belgium,BE,3.269684,50.826226
FB000176,Tops,Ann Taylor,Summer,XXL,Black,28.79,0,28.79,8/6/2025,4,4.4,FALSE,,893,Belgium,BE,4.481045,51.026484
FB000177,Outerwear,Uniqlo,Winter,M,Gray,204.21,0,204.21,8/6/2025,5,3.3,FALSE,,514,Belgium,BE,4.458306,50.418696
FB000178,Shoes,Mango,Fall,XXL,Pink,190.75,20,152.6,8/6/2025,47,,FALSE,,983,Belgium,BE,4.566851,51.134059
FB000179,Tops,Forever21,Winter,XS,Brown,33.01,39.2,20.07,8/6/2025,16,3.7,FALSE,,675,Belgium,BE,4.255219,51.214061
FB000180,Accessories,Banana Republic,Spring,,Blue,47.61,39.8,28.66,12/3/2024,18,1.3,FALSE,,155,Belgium,BE,5.581207,50.632056
FB000181,Outerwear,H&M,Spring,XS,Red,137.16,0,137.16,9/26/2024,34,3.2,FALSE,,452,Belgium,BE,4.336429,50.80324
